Required	Yannas, Ioannis V. Tissue and Organ Regeneration in Adults. Springer, 2001. ISBN: 9780387952147.
Optional	Discher, Dennis E., Paul Janmey, et al. “Tissue Cells Feel and Respond to the Stiffness of their Substrate.” Science 310, no. 5751 (2005): 1139–43.
Optional	Engler, Adam J., Shamik Sen, et al. “Matrix Elasticity Directs Stem Cell Lineage Specification.” Cell 126, no. 4 (2006): 677–89.
Optional	Vale, Ronald D., and Ronald A. Milligan. “The Way Things Move: Looking under the Hood of Molecular Motor Proteins.” Science 288, no. 5463 (2000): 88–95.
Optional	Stossel, Thomas P. “On the Crawling of Animal Cells.” Science 260, no. 5111 (1993): 1086–94.
Optional	Hinz, Boris, Giuseppe Celetta, et al. “Alpha-smooth Muscle Actin Expression Upregulates Fibroblast Contractile Activity.” Molecular Biology of the Cell 12, no. 9 (2001): 2730–41.
Optional	Ruoslahti, Erkki, and Michael D. Pierschbacher. “New Perspectives in Cell Adhesion: RGD and Integrins.” Science 238, no. 4826 (1987): 491–97.
Optional	Wang, J. H-C., and B. P. Thampatty. “An Introductory Review of Cell Mechanobiology.” Biomechanics and Modeling in Mechanobiology 5, no. 1 (2006): 1–16.
Optional	Sweeney, Shawn M., Joseph P. Orgel, et al. “Candidate Cell and Matrix Interaction Domains on the Collagen Fibril, the Predominant Protein of Vertebrates.” Journal of Biological Chemistry 283, no. 30 (2008): 21187–97.
Optional	Jessop, H. L., M. Sjöberg, et al. “Mechanical Strain and Estrogen Activate Estrogen Receptor α in Bone Cells.” Journal of Bone and Mineral Research 16, no. 6 (2001): 1045–55.
Optional	Banes, Albert J., Mari Tsuzaki, et al. “Mechanoreception at the Cellular Level: The Detection, Interpretation, and Diversity of Responses to Mechanical Signals.” Biochemistry and Cell Biology 73, no. 7–8 (1995): 349–65.
Optional	Davies, Peter F., and S. C. Tripathi. “Mechanical Stress Mechanisms and the Cell. An Endothelial Paradigm.” Circulation Research 72, no. 2 (1993): 239–45.
Optional	Alenghat, Francis J., and Donald E. Ingber. “Mechanotransduction: All Signals Point to Cytoskeleton, Matrix, and Integrins.” Science STKE 119, no. 6 (2002): pe6.
Optional	Schaffer, Jonathan L., Michael Rizen, et al. “Device for the Application of a Dynamic Biaxially Uniform and Isotropic Strain to a Flexible Cell Culture Membrane.” Journal of Orthopaedic Research 12, no. 5 (1994): 709–19.
Optional	McNeil, Paul L., and Richard A. Steinhardt. “Plasma Membrane Disruption: Repair, Prevention, Adaptation.” Annual Review of Cell and Developmental Biology 19, no. 1 (2003): 697–731.
Optional	Miyake, Katsuya, and Paul L. McNeil. “Mechanical Injury and Repair of Cells.” Critical Care Medicine 31, no. 8 (2003): S496–501.
Optional	Rubin, Clinton T., and Lance E. Lanyon. “Osteoregulatory Nature of Mechanical Stimuli: Function as a Determinant for Adaptive Remodeling in Bone.” Journal of Orthopaedic Research 5, no. 2 (1987): 300–10.
Optional	Freyman, T. M., I. V. Yannas, et al. “Fibroblast Contraction of a Collagen–GAG Matrix.” Biomaterials 22, no. 21 (2001): 2883–91.
Optional	———. “Fibroblast Contractile Force is Independent of the Stiffness which Resists the Contraction.” Experimental Cell Research 272, no. 2 (2002): 153–62.
Optional	Freyman, T. M., I. V. Yannas, et al. “Micromechanics of Fibroblast Contraction of a Collagen–GAG Matrix.” Experimental Cell Research 269, no. 1 (2001): 140–53.
Optional	Hwang, Kun, Hyung Bo Sim, et al. “Myofibroblasts and Capsular Tissue Tension in Breast Capsular Contracture.” Aesthetic Plastic Surgery 34, no. 6 (2010): 716–21.
Optional	Walsh, Andrew J. L., and Jeffrey C. Lotz. “Biological Response of the Intervertebral Disc to Dynamic Loading.” Journal of Biomechanics 37, no. 3 (2004): 329–37.
Optional	Kasra, Mehran, Vijay Goel, et al. “Effect of Dynamic Hydrostatic Pressure on Rabbit Intervertebral Disc Cells.” Journal of Orthopaedic Research 21, no. 4 (2003): 597–603.
Optional	Fermor, Beverley, Devon Jeffcoat, et al. “[The Effects of Cyclic Mechanical Strain and Tumor Necrosis Factor Alpha on the Response of Cells of the Meniscus](http://dx.doi.org/ 10.1016/j.joca.2004.08.007).” Osteoarthritis and Cartilage 12, no. 12 (2004): 956–62.
Optional	Zielinska, B., M. Killian, et al. “Meniscal Tissue Explants Response Depends on Level of Dynamic Compressive Strain.” Osteoarthritis and Cartilage 17, no. 6 (2009): 754–60.
Optional	Zaleskas, J. M., B. Kinner, et al. “Growth Factor Regulation of Smooth Muscle Actin Expression and Contraction of Human Articular Chondrocytes and Meniscal Cells in a Collagen–GAG Matrix.” Experimental Cell Research 270, no. 1 (2001): 21–31.
Optional	Hughes-Fulford, Millie. “Signal Transduction and Mechanical Stress.” Science STKE 2004, no. 249 (2004): re12.
Optional	Turner, Charles H., and Fredrick M. Pavalko. “Mechanotransduction and Functional Response of the Skeleton to Physical Stress: The Mechanisms and Mechanics of Bone Adaptation.” Journal of Orthopaedic Science 3, no. 6 (1998): 346–55.
Optional	Robling, A. G., K. M. Duijvelaar, et al. “Modulation of Appositional and Longitudinal Bone Growth in the Rat Ulna by Applied Static and Dynamic Force.” Bone 29, no. 2 (2001): 105–13.
Optional	Burr, D. B., Alexander G. Robling, et al. “Effects of Biomechanical Stress on Bones in Animals.” Bone 30, no. 5 (2002): 781–86.
