Required	Connor, J. J. Introduction to Structural Motion Control. Prentice Hall, August 2002.
Optional	Kojima, H., and Y. Fukahori. Rubber World. Vol. 35, no. 202 (1990).
Optional	Fujita, R., S. Suzuki, and S. Fujita. The 1989 ASME Pressure Vesseles and Piping Conference. Vol. 181 (1989): 923-928.
Optional	Allen, D. E., and T. M. Murray. “Design Criterion for Vibrations Due to Walking.” AISC Engineering Journal. Vol. 30, no.4 (1993): 117-129.
Optional	Billington, D. P. “Robert Maillart and the Art of Reinforced Concrete.” The Architectural History Foundation. New York, N.Y.: MIT Press, Cambridge, MA, 1990 [TG340.B56 1990].
Optional	Blanc, A., M. McEvoy, R. Plank. Architecture and Construction in Steel. London: E&FN Spon, 1993 [TH1611.A73 1993].
Optional	Bush-Brown, A. Skidmore, Owings and Merrill. Architecture and Urbanism 1973 -1983. New York, N.Y.: Van Nostrand Reinhold Company, 1983 [NA737.S628.B87 1984].
Optional	Crosnier Leconte, M.-L., A. Granet, Marrey, B. Eiffel. La Bibliotheque des Expositions Adam Biro. Paris, 1989 [TA140.E4.E4 1989].
Optional	Elliott, C. D. “Technics and Architecture.” In The Development of Materials and Systems for Buildings. Cambridge, MA: The MIT Press, 1992 [TH18.E45 1992].
Optional	Englekirk, R. “Steel Structures.” In Controlling Behavior through Design. New York, N.Y.: John Wiley & Sons, 1994 [TA684.E66 1994].
Optional	Frampton, K. Calatrava Bridges Birkhauser Verlag. Boston, MA: Basel, 1996 [NA1313.C35.F73 1996].
Optional	Gordon, J. E. The Science of Structures and Materials Scientific American Books. New York, N.Y. 1988 [TA405.G62 1988].
Optional	Graham, B. Bruce Graham of SOM Rizzoli International. New York, N.Y. 1989 [NA737.G715.B7 1989].
Optional	Herzog, T., P. L. Nervi. Gestalten in Beton zum Werk von Pier Luigi Nervi Rudolf Muller. Koln, 1989 [NA1123.N456.G37 1989].
Optional	Lee, D. J. Bridge Bearings and Expansion Joints. London: E&FN Spon, 1994 [TG326.L42 1994].
Optional	Leonhardt, F. Brucken: Asthetik und Gestaltung = Bridges: Aesthetics and Design. Stuttgart: Deutsche Verlags-Anstalt, 1982 [TG145.L46 1982].
Optional	Major, M. Pier Luigi Nervi Henschelverlag. Berlin, 1970 [NA1123.N456.M2341].
Optional	Mark, R. ed. “Architectural Technology up to the Scientific Revolution.” In The Art and Structure of Large-Scale Buildings. Cambridge, MA: The MIT Press, 1993 [TH15.A73 1993].
Optional	Ove Arup and Partners. Ove Arup & Partners 1946-1986. London: Academy Editions, 1986 [TA140.O96.O84 1986].
Optional	Piano, R. Renzo Piano - Progetti e architetture 1987-1994. Milano: Electra, c1994 [NA1123.P47.A4 1994a].
Optional	Piano, R. Renzo Piano and Building Workshop Buildings and Projects 1971-1989. Rizzoli International, 1989 [NA1123.P581.A45 1989].
Optional	Rice, P. An Engineer Imagines Artemis. London, c1994 [TH140.R5.E44 1994].
Optional	Roig, J. Nuevos Puentes/New Bridges Gustavo Gili. Barcelona, 1996 [TG20.R65 1996].
Optional	San Francisco Museum of Art Nervi Space and Structural Integrity Associated Arts Foundation, San Francisco CA 1961 [NA1123.N456.S195].
Optional	Scott, Q., and H. S. Miller. Columbia, MO: The Eads Bridge University of Missouri Press, 1979 [TG25.S15.S36].
Optional	Sharp, D., ed. “Santiago Calatrava.” Architectural Monographs. No. 46, London: Academy Editions, 1996 [NA680.A6733 no.46].
Optional	Stackpole, P. The Bridge Builders Pomegranate. Corte Madera, CA 1984 [TG25.S237.S83 1984].
Optional	Walker, D. “Great Engineers.” In The Art of British Engineers 1837-1987. London: Academy Editions, 1987 [TA57.G74 1987].
Optional	Wilson, F. “Architecture.” In Fundamental Issues. New York, NY: Van Nostrand Reinhold, 1990 [NA1996.W517 1990].
Optional	Architectural Record. New York, N.Y.: McGraw-Hill, 1891. (Journal)
Optional	Architecture. New York, N.Y.: C. Scribner’s Sons, 1900. (Journal)
Optional	Arkitektur. Stockholm: AB Byggmastarens Forlag, 1959. (Journal)
