category	author	title	type	collection	year	course
Required	"[{:family=>""Grassberger"", :given=>""P.""}, {:family=>""Procaccia"", :given=>""I.""}]"	Characterization of Strange Attractors	article-journal	Physical Review Letters	1983	1022
Required	"[{:family=>""Sauer"", :given=>""T.""}, {:family=>""Yorke"", :given=>""J.A.""}, {:family=>""Casdagli"", :given=>""M.""}]"	Embedology	article-journal	Journal of Statistical Physics	1991	1022
Required	"[{:family=>""Ziehmann"", :given=>""C.""}, {:family=>""Smith"", :given=>""L.A.""}, {:family=>""Kurths"", :given=>""J.""}]"	Localized Lyapunov Exponents and the Prediction of Predictability	article-journal	Physics Letters A	2000	1022
Required	"[{:family=>""Smith"", :given=>""L.A.""}, {:family=>""Ziehmann"", :given=>""C.""}, {:family=>""Fraedrich"", :given=>""K.""}]"	Uncertainty Dynamics and Predictability in Chaotic Systems	article-journal	Quarterly Journal of the Royal Meteorological Society	1999	1022
Required	"[{:family=>""Gilmour"", :given=>""I.""}, {:family=>""Smith"", :given=>""L.A.""}, {:family=>""Buizza"", :given=>""R.""}]"	Linear Regime Duration: Is 24 Hours a Long Time in Synoptic Weather Forecasting?	article-journal	Journal of the Atmospheric Sciences	2001	1022
Required	"[{:family=>""Epstein"", :given=>""E.S.""}]"	Stochastic Dynamic Prediction	article-journal	Tellus	1969	1022
Required	"[{:family=>""Sivillo"", :given=>""J.K.""}, {:family=>""Ahlquist"", :given=>""J.E.""}, {:family=>""Toth"", :given=>""Z.""}]"	An Ensemble Forecasting Primer	article-journal	Weather and Forecasting	1997	1022
Required	"[{:family=>""Murphy"", :given=>""A.H.""}]"	What Is a Good Forecast? An Essay on the Nature of Goodness in Weather Forecasting	article-journal	Weather and Forecasting	1993	1022
Required	"[{:family=>""Talagrand"", :given=>""O.""}]"	Assimilation of Observations	article-journal	Journal of the Meteorological Society of Japan	1997	1022
Required	"[{:family=>""Whitaker"", :given=>""J.S.""}, {:family=>""Hamill"", :given=>""T.M.""}]"	Ensemble Data Assimilation without Perturbed Observations	article-journal	Monthly Weather Review	2002	1022
Required	"[{:family=>""Hamill"", :given=>""Thomas M.""}]"	Ensemble-based Data Assimilation: A Review	book		2003-02-14	1022
Optional	"[{:family=>""Ott"", :given=>""E.""}, {:family=>""Sauer"", :given=>""T.""}, {:family=>""Yorke"", :given=>""J.""}]"	Coping with Chaos			1994	1022
Optional	"[{:family=>""Wilks"", :given=>""D.""}]"	Statistical Methods in the Atmospheric Sciences			1995	1022
Optional	"[{:family=>""Wunsch"", :given=>""C.""}]"	The Ocean Circulation Inverse Problem			1996	1022
Optional	"[{:family=>""Kalnay"", :given=>""E.""}]"	Atmospheric Modeling			2003	1022
Required	"[{:family=>""Mas-Colell"", :given=>""Andreu""}, {:family=>""Whinston"", :given=>""Michael Dennis""}, {:family=>""Green"", :given=>""Jerry R.""}]"	Microeconomic Theory			1995	1036
Required	"[{:family=>""Kreps"", :given=>""David M.""}]"	Microeconomic Foundations I: Choice and Competitive Markets			2012	1036
Required	"[{:family=>""Fudenberg"", :given=>""Drew""}, {:family=>""Tirole"", :given=>""Jean""}]"	Game Theory	book		1991	1037
Required	"[{:family=>""Gibbons"", :given=>""Robert""}]"	Game Theory for Applied Economists	book		1992	1037
Required	"[{:family=>""Gibbons"", :given=>""Robert""}]"	Game Theory for Applied Economists			1992	1035
Optional	"[{:family=>""Dutta"", :given=>""Prajit""}]"	Strategies and Games: Theory and Practice			1999	1035
Optional	"[{:family=>""Watson"", :given=>""Joel""}]"	Strategy: An Introduction to Game Theory			2007	1035
Optional	"[{:family=>""Kreps"", :given=>""David""}]"	A Course in Microeconomic Theory			1990	1035
Optional	"[{:family=>""Fudenberg"", :given=>""Drew""}, {:family=>""Tirole"", :given=>""Jean""}]"	Game Theory			1991	1035
Optional	"[{:family=>""Osborne"", :given=>""Martin""}, {:family=>""Rubinstein"", :given=>""Ariel""}]"	A Course in Game Theory			1994	1035
Optional	"[{:family=>""Dixit"", :given=>""Avinash""}, {:family=>""Sekeath"", :given=>""Susan""}]"	Games of Strategy			2009	1035
Optional	"[{:family=>""Durran"", :given=>""Dale R.""}]"	Numerical Methods for Wave Equations in Geophysical Fluid Dynamics			1998	1021
Optional	"[{:family=>""Haidvogel"", :given=>""Dale B.""}, {:family=>""Beckmann"", :given=>""Aike""}]"	Numerical Ocean Circulation Modeling			1999	1021
Optional	"[{:family=>""Haltiner"", :given=>""George J.""}, {:family=>""Williams"", :given=>""Roger T.""}]"	Numerical Prediction and Dynamic Meteorology			1980	1021
Optional	"[{:family=>""Jacobson"", :given=>""Mark Z.""}]"	Fundamentals of Atmospheric Modeling			1998	1021
Optional	"[{:family=>""Kantha"", :given=>""Lakshmi H.""}]"	Numerical Models of Oceans and Oceanic Processes			2000	1021
Optional	"[{:family=>""Pedlosky"", :given=>""Joseph""}]"	Ocean Circulation Theory			2004	1021
Required	"[{:family=>""Pedlosky"", :given=>""Joseph""}]"	Geophysical Fluid Dynamics			1979	1008
Required	"[{:family=>""Gill"", :given=>""Adrian E.""}]"	Atmosphere-Ocean Dynamics			1982	1008
Required	"[{:family=>""Snir"", :given=>""Marc""}, {:family=>""Gropp"", :given=>""William""}]"	MPI: The Complete Reference (2-volume set			1998	1020
Required	"[{:family=>""Gropp"", :given=>""William""}, {:family=>""Huss-Lederman"", :given=>""Steven""}, {:family=>""Lumsdaine"", :given=>""Andrew""}, {:family=>""Lusk"", :given=>""Ewing""}, {:family=>""Nitzberg"", :given=>""Bill""}, {:family=>""Saphir"", :given=>""William""}, {:family=>""Snir"", :given=>""Marc""}, {:literal=>""-""}]"	MPI: The Complete Reference			1998	1020
Required	"[{:family=>""Gropp"", :given=>""William""}, {:family=>""Lusk"", :given=>""Ewing""}, {:family=>""Skjellum"", :given=>""Anthony""}]"	Using MPI: Portable Parallel Programming with the Message Passing Interface			1999	1020
Required	"[{:family=>""Snir"", :given=>""Marc""}, {:family=>""Gropp"", :given=>""William""}]"	Using MPI-2: Advanced Features of the Message Passing Interface			1999	1020
Required	"[{:family=>""Bernanke"", :given=>""Ben S.""}]"	The Courage to Act: A Memoir of a Crisis and Its Aftermath			2015	1034
Required	"[{:family=>""Allen"", :given=>""Franklin""}, {:family=>""Gale"", :given=>""Douglas""}]"	Chapter 1 in Understanding Financial Crises			2009	1034
Required	"[{:family=>""Holmstrom"", :given=>""Bengt""}, {:family=>""Tirole"", :given=>""Jean""}]"	Financial Intermediation	article-journal	Quarterly Journal of Economics	1997	1034
Required	"[{:family=>""Campello"", :given=>""Murillo""}, {:family=>""Graham"", :given=>""John R.""}, {:others=>true}]"	The Real Effects of Financial Constraints: Evidence from a Financial Crisis	article-journal	Journal of Financial Economics	2010	1034
Required	"[{:family=>""Geanakoplos"", :given=>""John""}]"	The Leverage Cycle	article-journal	NBER Macroeconomics Annual	2009	1034
Required	"[{:family=>""Jorion"", :given=>""Philippe""}]"	Risk Management Lessons from Long Term Capital Management	article-journal	European Financial Management	2000	1034
Required	"[{:family=>""Rose"", :given=>""Clayton S.""}, {:family=>""Bergstresser"", :given=>""Daniel Baird""}, {:others=>true}]"	The Tip of the Iceberg: JP Morgan Chase and Bear Stearns (A	article-journal	Harvard Business School Case. Case	2009-01	1034
Required	"[{:family=>""Diamond"", :given=>""Douglas W.""}, {:family=>""Dybvig"", :given=>""Philip H.""}]"	Bank Runs	article-journal	Journal of Political Economy	1983	1034
Required	"[{:family=>""Shin"", :given=>""Hyun Song""}]"	Reflections on Northern Rock: The Bank Run that Heralded the Global Financial Crisis	article-journal	Journal of Economic Perspectives	2009	1034
Required	"[{:family=>""Holmstrom"", :given=>""Bengt""}]"	Understanding the Role of Debt in the Financial System	article-journal	Bank for International Settlements Working Paper	2015	1034
Required	"[{:family=>""Caballero"", :given=>""Ricardo J.""}, {:family=>""Krishnamurthy"", :given=>""Arvind""}]"	Collective Risk Management in a Flight to Quality Episode	article-journal	The Journal of Finance	2008	1034
Required	"[{:family=>""Acemoglu"", :given=>""Daron""}, {:family=>""Ozdaglar"", :given=>""Asuman""}, {:others=>true}]"	Systemic Risk and Stability in Financial Networks	article-journal	National Bureau of Economic Research Working Paper	2013	1034
Required	"[{:family=>""Caballero"", :given=>""Ricardo J.""}, {:family=>""Simsek"", :given=>""Alp""}]"	Fire Sales in a Model of Complexity	article-journal	The Journal of Finance	2013	1034
Required	"[{:family=>""Caballero"", :given=>""Ricardo J.""}]"	Sudden Financial Arrest	article-journal	IMF Economic Review	2010	1034
Required	"[{:family=>""Hanson"", :given=>""Samuel G.""}, {:family=>""Kashyap"", :given=>""Anil K.""}, {:others=>true}]"	A Macroprudential Approach to Financial Regulation	article-journal	Journal of Economic Perspectives	2011	1034
Optional	"[{:family=>""Brunnermeier"", :given=>""Markus K.""}]"	Deciphering the Liquidity and Credit Crunch 2007–2008	article-journal	Journal of Economic Perspectives	2009	1034
Optional	"[{:family=>""Chodorow-Reich"", :given=>""Gabriel""}]"	The Employment Effects of Credit Market Disruptions: Firm-level Evidence from the 2008–9 Financial Crisis	article-journal	Quarterly Journal of Economics	2014	1034
Optional	"[{:family=>""Shleifer"", :given=>""Andrei""}, {:family=>""Vishny"", :given=>""Robert""}]"	Fire Sales in Finance and Macroeconomics	article-journal	Journal of Economic Perspectives	2011	1034
Optional	"[{:family=>""Acharya"", :given=>""Viral""}, {:family=>""Philippon"", :given=>""Thomas""}, {:others=>true}]"	The Financial Crisis of 2007–2009: Causes and Remedies	article-journal	Financial Markets	2009	1034
Optional	"[{:family=>""Barberis"", :given=>""Nicholas C.""}]"	Psychology and the Financial Crisis of 2007–2008	chapter	Financial Innovation: Too Much Or Too Little?	2012	1034
Optional	"[{:family=>""Cheng"", :given=>""Ing-haw""}, {:family=>""Raina"", :given=>""Sahil""}, {:others=>true}]"	Wall Street and the Housing Bubble	article-journal	American Economic Review	2014	1034
Optional	"[{:family=>""Ma"", :given=>""Yueran""}]"	Bank CEO Optimism and the Financial Crisis	book		2014	1034
Optional	"[{:family=>""Akerlof"", :given=>""George A.""}, {:family=>""Romer"", :given=>""Paul M.""}]"	Looting: The Economic Underworld of Bankruptcy for Profit	article-journal	Brookings Papers on Economic Activity	1993	1034
Optional	"[{:family=>""Bordo"", :given=>""Michael D.""}]"	The Lender of Last Resort: Alternative Views and Historical Experience	article-journal	FRB Richmond Economic Review	1990	1034
Optional	"[{:family=>""Gorton"", :given=>""Gary""}, {:family=>""Metrick"", :given=>""Andrew""}]"	The Federal Reserve and Panic Prevention: The Roles of Financial Regulation and Lender of Last Resort	article-journal	Journal of Economic Perspectives	2013	1034
Optional	"[{:family=>""Gorton"", :given=>""Gary B.""}]"	Questions and Answers about the Financial Crisis-Prepared for the US Financial Crisis Inquiry Commission	article-journal	National Bureau of Economic Research	2010-02	1034
Optional	"[{:family=>""McDonald"", :given=>""Robert""}, {:family=>""Paulson"", :given=>""Anna""}]"	AIG in Hindsight	article-journal	Journal of Economic Perspectives	2015	1034
Optional	"[{:family=>""Bernanke"", :given=>""Ben S.""}]"	The Crisis and the Policy Response	article-journal	Stamp Lecture	2009-01-13	1034
Optional	"[{:family=>""Kohn"", :given=>""Donald L.""}]"	The Federal Reserve’s Policy Actions During the Financial Crisis and Lessons for the Future	book		2010-05-13	1034
Optional	"[{:family=>""Swagel"", :given=>""Phillip""}]"	Legal	article-journal	Journal of Economic Perspectives	2015	1034
Optional	"[{:family=>""Blanchard"", :given=>""Olivier""}, {:family=>""Dell’Ariccia"", :given=>""Giovanni""}, {:others=>true}]"	Rethinking Macroeconomic Policy	article-journal	Journal of Money	2010	1034
Required	"[{:family=>""Hartmann"", :given=>""D.L.""}]"	Global Physical Climate			1994	1018
Required	"[{:family=>""Allegre"", :given=>""C.J.""}, {:family=>""Schneider"", :given=>""S.H.""}]"	The Evolution of the Earth	article-journal	Scientific American	1994-10	1018
Required	"[{:family=>""Kasting"", :given=>""J.F.""}]"	Earth’s Early Atmosphere	article-journal	Science	1993	1018
Required	"[{:family=>""Holland"", :given=>""H.D.""}]"	Evidence for Life on Earth more than 3850 Million Years Ago	article-journal	Science	1997	1018
Required	"[{:family=>""Owen"", :given=>""T.""}, {:family=>""Cess"", :given=>""R.D.""}, {:family=>""Ramanathan"", :given=>""V.""}]"	Enhanced CO2 Greenhouse to Compensate for Reduced Solar Luminosity on Early Earth	article-journal	Nature	1979	1018
Required	"[{:family=>""Walker"", :given=>""J.C.G.""}, {:family=>""Hays"", :given=>""P.B.""}, {:family=>""Kasting"", :given=>""J.F.""}]"	A Negative Feedback Mechanism for the Long-term Stabilization of Earth’s Surface Temperature	article-journal	J Geophys Res	1981	1018
Required	"[{:family=>""Schopf"", :given=>""J.W.""}, {:family=>""Kudryavtsev"", :given=>""A.B.""}, {:family=>""Agresti"", :given=>""D.G.""}, {:family=>""Widowiak"", :given=>""T.J.""}, {:family=>""Czaja"", :given=>""A.D.""}]"	Laser-Raman Imagery of Earth’s Earliest Fossils	article-journal	Nature	2002	1018
Required	"[{:family=>""Brasier"", :given=>""M.D.""}, {:family=>""Green"", :given=>""O.R.""}, {:family=>""Jephcoat"", :given=>""A.P.""}, {:family=>""Kleppe"", :given=>""A.K.""}, {:family=>""Kranendonk"", :given=>""M.J."", :particle=>""Van""}, {:family=>""Lindsay"", :given=>""J.F.""}, {:family=>""Steele"", :given=>""A.""}, {:family=>""Grassineau"", :given=>""N.V.""}]"	Questioning the Evidence for Earth’s Oldest Fossils	article-journal	Nature	2002	1018
Required	"[{:family=>""Dalton"", :given=>""R.""}]"	Squaring up over Ancient Life	article-journal	Nature	2002	1018
Required	"[{:family=>""Garcia-Ruiz"", :given=>""J.M.""}, {:family=>""Hyde"", :given=>""S.T.""}, {:family=>""Carnerup"", :given=>""A.M.""}, {:family=>""Christy"", :given=>""A.G.""}, {:family=>""Kranendonk"", :given=>""M.J."", :particle=>""Van""}, {:family=>""Welham"", :given=>""N.J.""}]"	Self-Assembled Silica-Carbonate Structures and Detection of Ancient Microfossils	article-journal	Science	2003	1018
Required	"[{:family=>""Zuilen"", :given=>""M.A."", :particle=>""van""}, {:family=>""Lepland"", :given=>""A.""}, {:family=>""Arrhenius"", :given=>""G.""}]"	Reassessing the Evidence for the Earliest Traces of Life	article-journal	Nature	2002	1018
Required	"[{:family=>""Tice"", :given=>""M.M.""}, {:family=>""Lowe"", :given=>""D.R.""}]"	Photosynthetic Microbial Mats in the 3,416-Myr-old Ocean	article-journal	Nature	2004	1018
Required	"[{:family=>""Cody"", :given=>""G.D.""}, {:family=>""Boctor"", :given=>""N.Z.""}, {:family=>""Filley"", :given=>""T.R.""}, {:family=>""Hazen"", :given=>""R.M.""}, {:family=>""Scott"", :given=>""J.H.""}, {:family=>""Sharma"", :given=>""A.""}, {:family=>""Yoder"", :given=>""H.S."", :suffix=>""Jr""}]"	Primordial Carbonylated Iron-sulfur Compounds and the Synthesis of Pyruvate	article-journal	Science	2000	1018
Required	"[{:family=>""Shen"", :given=>""Y.""}, {:family=>""Canfield"", :given=>""D.E.""}]"	Isotopic Evidence for Microbial Sulphate Reduction in the Early Archaean Era	article-journal	Nature	2001	1018
Required	"[{:family=>""Wächtershäuser"", :given=>""G.""}]"	Life as We Don’t Know it	article-journal	Science	2000	1018
Required		Hoffman and Schrag	article-journal	Terra Nova	2002	1018
