category	author	title	type	collection	year	course
Required	"[{:family=>""Dill"", :given=>""K.""}, {:family=>""Bromberg"", :given=>""S.""}]"	Molecular Driving Forces			2002	1546
Optional	"[{:family=>""Hill"", :given=>""T.L.""}]"	An Introduction to Statistical Thermodynamics			1987	1546
Optional	"[{:family=>""Holde"", :given=>""K.E."", :particle=>""van""}, {:family=>""Johnson"", :given=>""W.C.""}, {:family=>""Ho"", :given=>""P.S.""}]"	Principles of Physical Biochemistry			1998	1546
Optional	"[{:family=>""Eisenberg"", :given=>""D.""}, {:family=>""Crothers"", :given=>""D.""}]"	Physical Chemistry with Applications to the Life Sciences			1979	1546
Optional	"[{:family=>""Kittel"", :given=>""C.""}, {:family=>""Kroemer"", :given=>""H.""}]"	Thermal Physics			1980	1546
Optional	"[{:family=>""McQuarrie"", :given=>""D.A.""}]"	Statistical Mechanics	book		1976	1546
Optional	"[{:family=>""Atkins"", :given=>""P.W.""}]"	Physical Chemistry	book		1997	1546
Optional	"[{:family=>""Gopen"", :given=>""G.""}, {:family=>""Swan"", :given=>""J.""}]"	The Science of Scientific Writing	book		1990	1552
Optional	"[{:family=>""Fleming"", :given=>""Michael""}]"	Academic Honesty and Avoiding Plagiarism: A Self-Guided Tutorial	book			1552
Required	"[{:family=>""Gewertz"", :given=>""Deborah""}, {:family=>""Errington"", :given=>""Frederick""}]"	Cheap Meat: Flap Food Nations in the Pacific Islands			2010	1585
Required	"[{:family=>""Bowen"", :given=>""Sarah""}, {:family=>""Brenton"", :given=>""Joslyn""}, {:family=>""Elliott"", :given=>""Sinikka""}]"	Pressure Cooker: Why Home Cooking Won’t Solve Our Problems and What We Can Do About It			2019	1585
Required	"[{:family=>""Chen"", :given=>""Nancy N.Food""}]"	Medicine			2008	1585
Required		The Taste Culture Reader: Experiencing Food and Drink			2005	1585
Required	"[{:family=>""Mull"", :given=>""Amanda""}]"	Instagram Food is a Sad	article-journal	Eater	2017-07-06	1585
Required	"[{:family=>""Brillat-Savarin"", :given=>""Jean Anthelme""}]"	Aphorisms of the Professor	chapter	The Physiology of Taste; Or	2009	1585
Required	"[{:family=>""Pollan"", :given=>""Michael""}]"	Our National Eating Disorder	article-journal	New York Times Magazine	2004-10-17	1585
Required	"[{:family=>""Albriton"", :given=>""Robert""}]"	Between Obesity and Hunger: The Capitalist Food Industry.” Chapter 24 in Food and Culture: A Reader			2012	1585
Required	"[{:family=>""Poppendieck"", :given=>""Janet""}]"	Want Amid Plenty: From Hunger to Inequality.” Chapter 38 in Food and Culture: A Reader			2012	1585
Required	"[{:family=>""Fisher"", :given=>""M.F.K.""}]"	How to Distribute Your Virtue	chapter	The Art of Eating	2004	1585
Required	"[{:family=>""Mintz"", :given=>""Sidney W.""}]"	Food and its Relationship to Concepts of Power.” Chapter 2 in Tasting Food			1997	1585
Required	"[{:family=>""Lindeman"", :given=>""Scarlett""}]"	Trash Eaters	article-journal	Gastronomica	2012	1585
Required	"[{:family=>""Bestor"", :given=>""Theodore C.""}]"	How Sushi Went Global	article-journal	Foreign Policy	2009-11-19	1585
Required	"[{:family=>""Wilk"", :given=>""Richard R.""}]"	‘Real Belizean Food’: Building Local Identity in the Transnational Caribbean	article-journal	American Anthropologist	1999	1585
Required	"[{:family=>""Wynne"", :given=>""Lauren A.""}]"	‘I Hate It’: Tortilla-Making	article-journal	Food	2015	1585
Required	"[{:family=>""Dash"", :given=>""Julie""}]"	Rice Culture	chapter	Through the Kitchen Window: Women Explore the Intimate Meanings of Food and Cooking. Edited by Arlene Voski Avakian	2006	1585
Required	"[{:family=>""Beoku-Betts"", :given=>""Josephine""}]"	‘We Got Our Way of Cooking Things’: Women	chapter	Chapter 21 in Food in the USA: A Reader. Edited by Carole Counihan	2002	1585
Required		The United States of Thanksgiving	article-journal	New York Times	2014-11-18	1585
Required	"[{:family=>""Staff"", :given=>""The Upshot""}]"	The Thanksgiving Recipes Googled in Every State	article-journal	New York Times	2014-11-25	1585
Required	"[{:family=>""Severson"", :given=>""Kim""}]"	Finding a Lost Strain of Rice	article-journal	New York Times	2018-02-13	1585
Required	"[{:family=>""Caplan"", :given=>""Pat""}]"	‘Is it Real Food?’ Who Benefits from Globalization in Tanzania and India?” Chapter 15 in The Globalization of Food			2009	1585
Required	"[{:family=>""Srinivas"", :given=>""Tulasi""}]"	‘As Mother Made It’: The Cosmopolitan Indian Family	article-journal	International Journal of Sociology of the Family	2006	1585
Required	"[{:family=>""Bowen"", :given=>""Sarah""}, {:family=>""Elliott"", :given=>""Sinikka""}, {:family=>""Brenton"", :given=>""Joslyn""}]"	The Joy of Cooking?	article-journal	Contexts	2014	1585
Required	"[{:family=>""Brillat-Savarin"", :given=>""Jean Anthelme""}]"	Meditation I: On the Senses	chapter	The Physiology of Taste; Or	2009	1585
Required	"[{:family=>""Brillat-Savarin"", :given=>""Jean Anthelme""}]"	Meditation 2: On Taste	chapter	The Physiology of Taste; Or	2009	1585
Required	"[{:family=>""Shapin"", :given=>""Steven""}]"	Hedonistic Fruit Bombs	article-journal	London Review of Books	2005	1585
Required	"[{:family=>""Bourdieu"", :given=>""Pierre""}]"	Distinction: A Social Critique of the Judgment of Taste.” Chapter 3 in Food and Culture: A Reader			2012	1585
Required	"[{:family=>""Terrio"", :given=>""Susan J.""}]"	Crafting Grand Cru Chocolates in Contemporary France	article-journal	American Anthropologist	1996	1585
Required	"[{:family=>""Kummer"", :given=>""Corby""}]"	Ice Cream for Beginners	article-journal	The Atlantic	2000-06	1585
Required	"[{:family=>""Meigs"", :given=>""Anna""}]"	Food as a Cultural Construction.” Chapter 8 in Food and Culture: A Reader			1997	1585
