category	author	title	type	collection	year	course
Optional	"[{:family=>""Reynolds"", :given=>""T.D.""}, {:family=>""Richards"", :given=>""P.A.""}]"	Unit Operations and Processes in Environmental Engineering			1996	58
Optional	"[{:family=>""Mara"", :given=>""D.""}]"	Domestic Wastewater Treatment in Developing Countries			2003	58
Optional	"[{:family=>""Viessman"", :given=>""W."", :suffix=>""Jr.""}, {:family=>""Hammer"", :given=>""M.J.""}]"	Water Supply and Pollution Control			2005	58
Optional	"[{:family=>""Tchobanoglous"", :given=>""G.""}, {:family=>""Burton"", :given=>""F.L.""}, {:family=>""Stensel"", :given=>""H.D.""}]"	Wastewater Engineering: Treatment and Reuse			2003	58
Optional	"[{:family=>""Staff"", :given=>""M.W.H.""}]"	Water Treatment: Principles and Design			2005	58
Optional	"[{:family=>""Droste"", :given=>""R.L.""}]"	Theory and Practice of Water and Wastewater Treatment			1997	58
Required	"[{:family=>""Williams"", :given=>""J.H."", :suffix=>""Jr""}]"	Fundamentals of Applied Dynamics			2006	70
Optional	"[{:family=>""Meriam"", :given=>""J.L.""}, {:family=>""Kraige"", :given=>""L.G.""}]"	Engineering Mechanics: Dynamics			2001	70
Optional	"[{:family=>""Oualline"", :given=>""Steve""}]"	Practical C++ Programming			2003	165
Optional	"[{:family=>""Dehghan-Manshadi"", :given=>""B.""}, {:family=>""Mahmudi"", :given=>""H.""}, {:family=>""Abedian"", :given=>""A.""}, {:family=>""Mahmudi"", :given=>""R.""}]"	A Novel Method for Materials Selection in Mechanical Design: Combination of Non-linear Normalization and a Modified Digital Logic Method	article-journal	Materials and Design	2007	159
Required	"[{:family=>""Yoon"", :given=>""K.Paul""}, {:family=>""Hwang"", :given=>""Ching-Lai""}]"	Multiple Attribute Decision Making: An Introduction			1995	159
Required	"[{:family=>""Ashby"", :given=>""Michael F.""}]"	Materials Selection in Mechanical Design			2005	159
Required	"[{:family=>""Collette"", :given=>""Yann""}, {:family=>""Siarry"", :given=>""Patrick""}]"	Multiobjective Optimization: Principles and Case Studies			2004	159
Required	"[{:family=>""Roy"", :given=>""Ranjit K.""}]"	Design of Experiments Using the Taguchi Approach: 16 Steps to Product and Process Improvement			2001	159
Required	"[{:family=>""Triantaphyllou"", :given=>""Evangelos""}]"	Multi-Criteria Decision Making Methods: A Comparative Study			2000	159
Required	"[{:family=>""Saaty"", :given=>""Thomas L.""}]"	Fundamentals of Decision Making and Priority Theory with the Analytic Hierarchy Process			2000	159
Required	"[{:family=>""Farag"", :given=>""Mahmoud M.""}]"	Materials Selection for Engineering Design			1997	159
