category	reading	course
Optional	Ott, E., T. Sauer, and J. Yorke. Coping with Chaos. 1994.	1022
Optional	Daley, R. Atmospheric Data Analysis. 1991.	1022
Optional	Wilks, D. Statistical Methods in the Atmospheric Sciences. 1995.	1022
Optional	Wunsch, C. The Ocean Circulation Inverse Problem. 1996.	1022
Optional	Kalnay, E. Atmospheric Modeling, Data Assimilation, and Predictability. 2003.	1022
Required	Grassberger, P., and I. Procaccia. “Characterization of Strange Attractors.” Physical Review Letters 50, no. 5 (1983): 346-349.	1022
Required	Sauer, T., J. A. Yorke, and M. Casdagli. “Embedology.” Journal of Statistical Physics 65 (1991): 579.	1022
Required	Ziehmann, C., L. A. Smith, and J. Kurths. “Localized Lyapunov Exponents and the Prediction of Predictability.” Physics Letters A 4 (2000): 237-251.	1022
Required	Smith, L. A., C. Ziehmann, and K. Fraedrich. “Uncertainty Dynamics and Predictability in Chaotic Systems.” Quarterly Journal of the Royal Meteorological Society 125 (1999): 2855-2886.	1022
Required	Gilmour, I., L. A. Smith, and R. Buizza. “Linear Regime Duration: Is 24 Hours a Long Time in Synoptic Weather Forecasting?” Journal of the Atmospheric Sciences 58 (2001): 3525-3539.	1022
Required	Epstein, E. S. “Stochastic Dynamic Prediction.” Tellus 21, no. 6 (1969): 739-759.	1022
Required	Sivillo, J. K., J. E. Ahlquist, and Z. Toth. “An Ensemble Forecasting Primer.” Weather and Forecasting 12 (1997): 809-818.	1022
Required	Murphy, A. H. “What Is a Good Forecast? An Essay on the Nature of Goodness in Weather Forecasting.” Weather and Forecasting 8 (1993): 281-293.	1022
Required	Talagrand, O. “Assimilation of Observations, an Introduction.” Journal of the Meteorological Society of Japan 75, no. 1B (1997): 191-209.	1022
Required	Whitaker, J. S., and T. M. Hamill. “Ensemble Data Assimilation without Perturbed Observations.” Monthly Weather Review 130 (2002): 1913-1924.	1022
Required	Hamill, Thomas M. “Ensemble-based Data Assimilation: A Review.” University of Colorado and NOAA-CIRES Climate Diagnostics Center, Boulder, Colorado, USA, 14 February 2003.	1022
Required	Mas-Colell, Andreu, Michael Dennis Whinston, and Jerry R. Green. Microeconomic Theory. Vol. 1. Oxford University Press, 1995. ISBN: 9780195073409.	1036
Required	Kreps, David M. Microeconomic Foundations I: Choice and Competitive Markets. Vol. 1. Princeton University Press, 2012. ISBN: 9780691155838.	1036
Required	Drew Fudenberg and Jean Tirole, Game Theory (MIT Press, 1991)	1037
Required	Robert Gibbons, Game Theory for Applied Economists (Princeton University Press, 1992)	1037
Required	Gibbons, Robert. Game Theory for Applied Economists. Princeton University Press, 1992. ISBN: 9780691003955.	1035
Optional	Dutta, Prajit. Strategies and Games: Theory and Practice. MIT Press, 1999. ISBN: 9780262041690.	1035
Optional	Watson, Joel. Strategy: An Introduction to Game Theory. W.W. Norton & Company, 2007. ISBN: 9780393929348.	1035
Optional	Kreps, David. A Course in Microeconomic Theory. Princeton University Press, 1990. ISBN: 9780691042640.	1035
Optional	Fudenberg, Drew, and Jean Tirole. Game Theory. MIT Press, 1991. ISBN: 9780262061414.	1035
Optional	Osborne, Martin, and Ariel Rubinstein.  A Course in Game Theory. MIT Press, 1994. ISBN: 9780262650403.	1035
Optional	Dixit, Avinash, and Susan Sekeath. Games of Strategy. W.W. Norton & Company, 2009. ISBN: 9780393931129.	1035
Optional	Durran, Dale R. Numerical Methods for Wave Equations in Geophysical Fluid Dynamics (Texts in Applied Mathematics Series, Vol. 32). New York, NY: Springer, 1998. ISBN: 9780387983769.	1021
Optional	Haidvogel, Dale B. and Aike Beckmann. Numerical Ocean Circulation Modeling. River Edge, NJ: World Scientific Publishing Co., 1999. ISBN: 9781860941146.	1021
Optional	Haltiner, George J., and Roger T. Williams. Numerical Prediction and Dynamic Meteorology, 2nd Ed. Hoboken, NJ: John Wiley & Sons, 1980. ISBN: 9780471059714.	1021
Optional	Jacobson, Mark Z. Fundamentals of Atmospheric Modeling. Cambridge, MA: Cambridge University Press, 1998. ISBN: 9780521637176.	1021
Optional	Kantha, Lakshmi H. Numerical Models of Oceans and Oceanic Processes. Academic Press; 1 edition, 2000. ISBN: 9780124340688.	1021
Optional	Pedlosky, Joseph. Ocean Circulation Theory. New York, NY: Springer; 1st ed. Corr. 2nd printing edition, 2004. ISBN: 9783540604891.	1021
Optional	Pedlosky, Joseph. Geophysical Fluid Dynamics. New York, NY: Springer Verlag, c1979. ISBN: 9780387903682.	1008
Optional	Gill, Adrian E. Atmosphere-Ocean Dynamics. New York, NY: Academic Press, 1982. ISBN: 9780122835223.	1008
Required	Snir, Marc, and William Gropp. MPI: The Complete Reference (2-volume set). 2nd ed. Cambridge, MA: MIT Press, 1998. ISBN: 9780262692168.	1020
Required	Gropp, William, Steven Huss-Lederman, Andrew Lumsdaine, Ewing Lusk, Bill Nitzberg, William Saphir, and Marc Snir. MPI: The Complete Reference (Vol. 2) - The MPI-2 Extensions. 2nd ed. Cambridge, MA: MIT Press, 1998. ISBN: 9780262571234.	1020
