category	reading	course
Optional	Reynolds, T. D., and P. A. Richards. Unit Operations and Processes in Environmental Engineering. 2nd ed. Boston, MA: PWS Publishing Company, 1996. ISBN: 0534948847.	58
Optional	Mara, D. Domestic Wastewater Treatment in Developing Countries. London, UK: Earthscan, 2003. ISBN: 1844070190.	58
Optional	Viessman, W., Jr., and M. J. Hammer. Water Supply and Pollution Control. 7th ed. Pearson Education, Inc., Upper Saddle River, NJ: Pearson Prentice Hall, 2005. ISBN: 0131409700.	58
Optional	Tchobanoglous, G., F. L. Burton, and H. D. Stensel. Wastewater Engineering: Treatment and Reuse. 4th ed. Metcalf and Eddy Inc., New York, NY: McGraw-Hill, 2003. ISBN: 0070418780.	58
Optional	MWH Staff. Water Treatment: Principles and Design. 2nd ed. New York, NY: Wiley, 2005. ISBN: 0471110183.	58
Optional	Droste, R. L. Theory and Practice of Water and Wastewater Treatment. Hoboken, NJ: Wiley & Sons, 1997. ISBN: 0471124443.	58
Required	Williams, J. H., Jr. Fundamentals of Applied Dynamics. New York, NY: John Wiley and Sons, Inc., 2006. ISBN: 9780470133859.	70
Optional	Meriam, J. L., and L. G. Kraige. Engineering Mechanics: Dynamics. 5th ed. Vol. 2. New York, NY: J. Wiley & Sons, 2001. ISBN: 9780471406457.	70
Optional	Oualline, Steve. Practical C++ Programming. O’Reilly Publishers, 2003. ISBN: 9780596004194.	165
Optional	Dehghan-Manshadi, B., H. Mahmudi, A. Abedian, and R. Mahmudi. “A Novel Method for Materials Selection in Mechanical Design: Combination of Non-linear Normalization and a Modified Digital Logic Method.” Materials and Design 28, no. 1 (2007): 8-15.	159
Required	Yoon, K. Paul, and Ching-Lai Hwang. Multiple Attribute Decision Making: An Introduction. Thousand Oaks, CA: SAGE Publications, 1995. ISBN: 9780803954861.	159
Required	Ashby, Michael F. Materials Selection in Mechanical Design. Burlington, MA: Butterworth-Heinemann, 2005. ISBN: 9780750661683.	159
Required	Collette, Yann, and Patrick Siarry. Multiobjective Optimization: Principles and Case Studies. New York, NY: Springer-Verlag, 2004. ISBN: 9783540401827.	159
Required	Roy, Ranjit K. Design of Experiments Using the Taguchi Approach: 16 Steps to Product and Process Improvement. New York, NY: John Wiley & Sons, 2001. ISBN: 9780471361015.	159
Required	Triantaphyllou, Evangelos. Multi-Criteria Decision Making Methods: A Comparative Study. New York, NY: Springer-Verlag, 2000. ISBN: 9780792366072.	159
Required	Saaty, Thomas L. Fundamentals of Decision Making and Priority Theory with the Analytic Hierarchy Process. Pittsburgh, PA: RWS Publications, 2000. ISBN: 9780962031762.	159
Required	Farag, Mahmoud M. Materials Selection for Engineering Design. Upper Saddle River, NJ: Prentice Hall, 1997. ISBN: 9780135751923.	159
Required	Roy, Bernard. Multicriteria Methodology for Decision Aiding. New York, NY: Springer-Verlag, 1996. ISBN: 9780792341666.	159
Required	Dehghan-Manshadi, B., H. Mahmudi, A. Abedian, and R. Mahmudi. “A novel method for materials selection in mechanical design: Combination of non-linear normalization and a modified digital logic method.” Materials and Design 28, no. 1 (2007): 8-15.	159
Required	Sirisalee, P., M. F. Ashby, G. T. Parks, and P. J. Clarkson. “Multi-criteria material selection of monolithic and multi-materials in engineering design.” Advanced Engineering Materials 8, no. 1-2 (2006): 48-56.	159
