author	title	type	collection	year	_merge	category
"[{:family=>""Baruh"", :given=>""H.""}]"	Analytical Dynamics			1998	both	Optional
"[{:family=>""Ginsberg"", :given=>""J.H.""}]"	Advanced Engineering Dynamics			1995	both	Optional
"[{:literal=>""Crandall, S. H., D. C. Karnopp, E. F. Kurtz, Jr., and D. C. Pridmore-Brown.""}]"	Dynamics of Mechanical and Electromechanical Systems			1982	both	Optional
"[{:family=>""Moon"", :given=>""F.C.""}]"	Applied Dynamics			1998	both	Optional
"[{:family=>""Greenwood"", :given=>""D.T.""}]"	Classical Dynamics			1997	both	Optional
"[{:family=>""Greenwood"", :given=>""D.T.""}]"	Principles of Dynamics			1987	both	Optional
"[{:family=>""Goldstein"", :given=>""H.""}]"	Classical Mechanics	book		1959	both	Optional
"[{:family=>""Hartog"", :given=>""J.P.Den""}]"	Mechanics	book		1961	both	Optional
"[{:family=>""Marion"", :given=>""J.B.""}]"	Classical Dynamics of Particles and Systems	book		1970	both	Optional
"[{:family=>""Landau"", :given=>""L.D.""}, {:family=>""Lifshitz"", :given=>""E.M.""}]"	Mechanics	book		1976	both	Optional
"[{:family=>""Williams"", :given=>""J.H."", :suffix=>""Jr""}]"	Fundamentals of Applied Dynamics	book		1996	both	Optional
"[{:family=>""Hartog"", :given=>""J.P.Den""}]"	Mechanical Vibrations	book		1956	both	Optional
"[{:family=>""Meirovitch"", :given=>""L.""}]"	Elements of Vibration Analysis	book		1975	both	Optional
"[{:family=>""Meirovitch"", :given=>""L.""}]"	Analytical Methods in Vibrations	book		1967	both	Optional
"[{:family=>""Pippard"", :given=>""A.B.""}]"	Response and Stability	book		1985	both	Optional
"[{:family=>""Nayfeh"", :given=>""A.H.""}, {:family=>""Mook"", :given=>""D.T.""}]"	Nonlinear Oscillations	book		1979	both	Optional
"[{:family=>""Strogatz"", :given=>""S.H.""}]"	Nonlinear Dynamics and Chaos	book		1994	both	Optional
