Optional	[{:family=>"Auerbach", :given=>"A."}, {:family=>"Feldstein", :given=>"M."}]	["Handbook of Public Economics"]			["1985"]
Optional	[{:family=>"Atkinson", :given=>"A."}, {:family=>"Stiglitz", :given=>"J."}]	["Lectures on Public Economics"]			["1980"]
Optional	[{:family=>"Laffont", :given=>"J."}]	["Fundamentals of Public Economics"]			["1988"]
Optional		["Means-Tested Transfer Programs in the United States"]	paper-conference	["National Bureau of Economic Research Conference Report"]	["2003"]
Optional	[{:family=>"Myles", :given=>"G."}]	["Public Economics"]			["1995"]
Optional	[{:family=>"Salanie", :given=>"B."}]	["The Economics of Taxation"]			["2003"]
Optional	[{:family=>"Tresch", :given=>"R."}]	["Public Finance"]			["2002"]
Optional	[{:family=>"Ways", :given=>"Committee", :particle=>"on"}, {:family=>"Representatives", :given=>"Means U.S.House", :particle=>"of"}]	["The 2000 Green Book: Background Material and Data on Programs within the Jurisdicition of the Committee on Ways and Means"]			["2000-10-06"]
Required	[{:family=>"Andreoni", :given=>"J."}]	["Impure Altruism and Donation to Public Goods; A Theory of Warm Glow Giving"]	article-journal	["Economic Journal"]	["1990"]
Required		["An Experimental Test of the Public Goods Crowding Out Hypothesis"]	article-journal	["American Economic Review"]	["1993-12"]
Required	[{:family=>"Bergstrom", :given=>"T."}, {:family=>"Blume", :given=>"L."}, {:family=>"Varian", :given=>"H."}]	["On the Private Provision of Public Goods"]	article-journal	["Journal of Public Economics"]	["1986"]
Required	[{:family=>"Kingma", :given=>"B."}]	["An Accurate Measurement of the Crowd-Out Effect, Income Effect, and Price Effect for Charitable Contributions"]	article-journal	["Journal of Political Economy"]	["1989-10"]
Required	[{:family=>"Ledyard", :given=>"J."}]	["Public Goods: A Survey of Experimental Research"]	chapter	["The Handbook of Experimental Economics"]	["1995"]
Required	[{:family=>"Roberts", :given=>"R."}]	["Financing Public Goods"]	article-journal	["Journal of Political Economy"]	["1987"]
Required	[{:family=>"Atkinson", :given=>"A."}, {:family=>"Stern", :given=>"N."}]	["Pigou, Taxation and Public Goods"]	article-journal	["Review of Economic Studies"]	["1974"]
Required	[{:family=>"Ballard", :given=>"C."}, {:family=>"Fullerton", :given=>"D."}]	["Distortionary Taxes and the Provision of Public Goods"]	article-journal	["Journal of Economic Perspectives"]	["1992"]
Required	[{:family=>"Boadway", :given=>"R."}, {:family=>"Keen", :given=>"M."}]	["Public Goods, Self-Selection and Optimal Income Taxation"]	article-journal	["International Economic Review"]	["1993-08"]
Required	[{:family=>"Gaube", :given=>"T."}]	["When do Distortionary Taxes Reduce the Optimal Supply of Public Goods?"]	article-journal	["Journal of Public Economics"]	["2000-05"]
