Required	[{:family=>"Mankiw", :given=>"Gregory"}]	["Macroeconomics"]			["2006"]
Required	[{:family=>"Krugman", :given=>"Paul"}, {:family=>"Obstfeld", :given=>"Maurice"}]	["International Economics: Theory and Policy"]			["2005"]
Required	[{:family=>"King", :given=>"Philip"}, {:family=>"King", :given=>"Sharmila"}]	["International Economics and International Economics Policy: A Reader"]			["2004"]
Required	[{:family=>"Kennedy", :given=>"Robert E."}]	["National Income Accounting"]	article-journal	["Harvard Business School Case. Harvard Business School Publishing. Case"]	["1996-11-15"]
Required	[{:family=>"Economic Analysis", :given=>"Bureau", :particle=>"of"}]	["GDP Growth Accelerates in Fourth Quarter"]	book		
Required	[{:family=>"Economic Analysis", :given=>"Bureau", :particle=>"of"}]	["GDP and the Economy: Third Estimates for the First Quarter of 2011"]	article-journal	["U.S. Department of Commerce"]	["2011-07"]
Required		["World Economic Outlook Update"]	article-journal	["International Monetary Fund"]	["2011-06-17"]
Required	[{:family=>"Alfaro", :given=>"Laura"}, {:family=>"Tella", :given=>"Rafael", :particle=>"Di"}, {:others=>true}]	["China: To Float or Not to Float?"]	book		["2006-03-02"]
Required	[{:family=>"Johnson", :given=>"Simon"}]	["Brace for a Long Recovery From Global Credit Glut: Simon Johnson"]	article-journal	["Bloomberg"]	["2011-09-11"]
Required	[{:family=>"Alfaro", :given=>"Laura"}, {:family=>"Tella", :given=>"Rafael", :particle=>"Di"}, {:others=>true}]	["U.S. Current Account Deficit"]	book		["2005-07-06"]
Required	[{:family=>"Rigobon", :given=>"Roberto"}]	["Simple Notes on the ISLM Model"]			
Required	[{:family=>"Boone", :given=>"Peter"}, {:family=>"Johnson", :given=>"Simon"}]	["What Next for Greece and for Europe?"]	article-journal	["The New York Times"]	["2011-09-15"]
Required	[{:family=>"Moss", :given=>"David A."}, {:family=>"Bolton", :given=>"Cole"}]	["The Federal Reserve and the Banking Crisis of 1931"]	article-journal	["Harvard Business School Case. Harvard Business School Publishing. Case"]	["2009-01-20"]
Required	[{:family=>"Alfaro", :given=>"Laura"}, {:family=>"Kim", :given=>"Renee"}]	["The First Global Financial Crisis of the 21st Century"]			["2009-04-07"]
Required	[{:family=>"Bernanke", :given=>"Ben"}]	["The Financial Accelerator and the Credit Channel"]	article-journal	["The Federal Reserve"]	["2007-06-15"]
Required	[{:family=>"Schraede", :given=>"Ulrike"}]	["Japanese Financial System: From Postwar to the New Millennium"]	book		["1999-10-20"]
Required	[{:family=>"Kwak", :given=>"James"}]	["Japan for Beginners"]	article-journal	["The Baseline Scenario"]	["2008-12-21"]
Required	[{:family=>"Alfaro", :given=>"Laura"}, {:family=>"Tella", :given=>"Rafael", :particle=>"Di"}, {:others=>true}]	["Korea: After the 1997 Financial Crisis"]	article-journal	["Harvard Business School Case. Harvard Business School Publishing. Case"]	["2007-03-20"]
Required	[{:family=>"Johnson", :given=>"Simon"}, {:family=>"Kwak", :given=>"James"}]	["Other People’s Oligarchs.” Chapter 2 in 13 Bankers: The Wall Street Takeover and the Next Financial Meltdown"]			["2010"]
Required	[{:family=>"Boone", :given=>"Peter"}, {:family=>"Johnson", :given=>"Simon"}]	["Europe on the Brink"]	book		["2011-07"]
