Required			chapter	["Principles of Naval Architecture"]	["1988"]
Required	[{:literal=>"———."}]	["Principles of Naval Architecture Vol. II: Resistance, Propulsion, and Vibration"]			["1988"]
Required	[{:family=>"Gillmer", :given=>"Thomas C."}, {:family=>"Johnson", :given=>"Bruce"}]	["Introduction to Naval Architecture"]			["1982"]
Required	[{:family=>"Kerwin", :given=>"Justin E."}, {:family=>"Hadler", :given=>"Jacques B."}]	["Principles of Naval Architecture Series: Propulsion"]	article-journal	["The Society of Naval Architects and Marine Engineers"]	["2010"]
Required	[{:family=>"Larsson", :given=>"Lars"}, {:family=>"Raven", :given=>"H.C."}]	["The Principles of Naval Architecture Series: Ship Resistance and Flow"]	article-journal	["The Society of Naval Architects and Marine Engineers"]	["2010"]
Required	[{:family=>"Moore", :given=>"Colin S."}]	["The Principles of Naval Architecture Series-Intact Stability"]	article-journal	["The Society of Naval Architects and Marine Engineers"]	["2010"]
Required	[{:family=>"Letcher", :given=>"John"}]	["Principles of Naval Architecture Series: The Geometry of Ships"]			["2010"]
Required	[{:family=>"Tupper", :given=>"Eric C."}]	["Introduction to Naval Architecture"]			["2013"]
Required	[{:family=>"Zubaly", :given=>"Robert B."}]	["Applied Naval Architecture"]			["1996"]
Required	[{:family=>"Burcher", :given=>"Roy"}, {:family=>"Rydill", :given=>"Louis J."}]	["Concepts in Submarine Design"]			["1994"]
