Required	[{:family=>"Harr", :given=>"Jonathan"}]	["A Civil Action"]	book		["1995"]
Optional	[{:family=>"Fetter", :given=>"C.W."}]	["Contaminant Hydrogeology"]	book		["1999"]
Optional	[{:family=>"Qian", :given=>"X."}, {:family=>"Koerner", :given=>"R.M."}, {:family=>"Gray", :given=>"D.H."}]	["Geotechnical Aspects of Landfill Design and Construction"]	book		["2002"]
Optional	[{:family=>"McBean", :given=>"E.A."}, {:family=>"Rovers", :given=>"F.A."}, {:family=>"Farquhar", :given=>"G.J."}]	["Solid Waste Landfill Engineering and Design"]	book		["1995"]
Optional	[{:family=>"Daniel", :given=>"D.E."}]	["Geotechnical Practice for Waste Disposal"]	book		["1993"]
Required	[{:family=>"Manual", :given=>"U.S.E.P.A.R.C.R.A.Orientation"}]	["EPA/530/R-02/016. Office of Solid Waste and Emergency Response, U.S"]			["2002-09"]
Required	[{:family=>"EPA", :given=>"U.S."}]	["Seminar Publication: Transport and Fate of Contaminants in the Subsurface"]	chapter	["Report Number EPA/625/4-89/019. Center for Environmental Research Information, U.S. Environmental Protection Agency"]	["1989-09"]
Required	[{:family=>"Huling", :given=>"S.G."}, {:family=>"Weaver", :given=>"J.W."}]	["Dense Nonaqueous Phase Liquids"]	chapter	["EPA Ground Water Issue. Report Number EPA/540/4-91-002. R.S. Kerr Environmental Research Center, Office of Research and Development, U.S. Environmental Protection Agency"]	["1991-03"]
Required	[{:family=>"Kueper", :given=>"B.H."}, {:family=>"McWhorter", :given=>"D.B."}]	["The Behavior of Dense, Nonaqueous Phase Liquids in Fractured Clay and Rock"]	article-journal	["Ground Water"]	["September/October 1991"]
Required	[{:family=>"Newell", :given=>"C.J."}, {:family=>"Acree", :given=>"S.D."}, {:family=>"Ross", :given=>"R.R."}, {:family=>"Huling", :given=>"S.G."}]	["Light Nonaqueous Phase Liquids"]	article-journal	["EPA Ground Water"]	["1995-07"]
