Required	[{:family=>"Hemond", :given=>"H.F."}, {:family=>"Fechner", :given=>"E.J."}]	["Chemical Fate and Transport in the Environment"]			["2000"]
Optional	[{:family=>"Driscoll", :given=>"F."}]	["Groundwater and Wells"]			["1986"]
Optional	[{:family=>"Freeze", :given=>"R.A."}, {:family=>"Cherry", :given=>"J.A."}]	["Groundwater"]			["1979"]
Optional	[{:family=>"Morel", :given=>"F.M.M."}, {:family=>"Hering", :given=>"J.G."}]	["Principles and Application of Aquatic Chemistry"]			["1993"]
Optional	[{:family=>"Reid", :given=>"G."}, {:family=>"Wood", :given=>"R."}]	["Ecology of Inland Waters and Estuaries"]			["1976"]
Optional	[{:family=>"Schwarzenbach", :given=>"R.P."}, {:family=>"Gschwend", :given=>"P.M."}, {:family=>"Imboden", :given=>"D.M."}]	["Environmental Organic Chemistry"]			["1993"]
Optional	[{:family=>"Stern", :given=>"A.C."}, {:family=>"Boubel", :given=>"R.W."}, {:family=>"Turner", :given=>"D.B."}, {:family=>"Fox", :given=>"D.L."}]	["Fundamentals of Air Pollution"]			["1984"]
Optional	[{:family=>"Stumm", :given=>"W."}, {:family=>"Morgan", :given=>"J.J."}]	["Aquatic Chemistry"]			["1981"]
Optional	[{:family=>"Thibodeaux", :given=>"L."}]	["Chemodynamics"]			["1979"]
Optional	[{:family=>"Wayne", :given=>"R.P."}]	["Chemistry of Atmospheres"]			["1991"]
Optional	[{:family=>"Wetzel", :given=>"R.G."}]	["Limnology Saunders"]			["1983"]
