Required	Newman, Mark. Networks: An Introduction. Oxford University Press, 2010. ISBN: 9780199206650
Optional	Gladwell, Malcolm. The Tipping Point: How Little Things Can Make a Big Difference. Back Bay Books, 2002. ISBN: 9780316346627
Optional	Barabasi, Albert-Laszlo. Linked: How Everything Is Linked to Everything Else and What It Means for Business, Science and Everyday Life. Penguin Books, 2014. ISBN: 9780465085736
Optional	Schelling, Thomas. Micromotives and Macrobehavior. WW Norton & Co., 2006.  ISBN: 9780393329469
Optional	Surowiecki, James. The Wisdom of Crowds: Why the Many Are Smarter Than the Few and How Collective Wisdom Sharpens Business, Economies, Societies, and Nations. Anchor, 2005. ISBN: 9780385721707
Optional	Bramoullé, Yann, Rachel Kranton, and Martin D’Amours. “Strategic Interaction and Networks.” American Economic Review, 104 (2014): 898-930
Optional	Ballester, Coralio, Antoni Calvó-Armengol, and Yves Zenou. “Who’s Who in Networks. Wanted: The Key Player .” 2005
Optional	Candogan, Ozan, Kostas Bimpikis, and Asuman Ozdaglar. “Optimal Pricing in Networks with Externalities .” Operations Research 60, no. 4 (2012): 883–905
Optional	Goyal, Sanjeev. Connections: An Introduction to the Economics of Networks. Princeton University Press, 2009. ISBN: 9780691141183
Optional	Mihai, Manea. “Bargaining in Stationary Networks .” American Economic Review 101 (2011): 2042–2080
Optional	Acemoglu, Daron, Vasco Carvalho, et al. “The Network Origins of Aggregate Fluctuations .” Econometrica 80, no. 5 (2012): 1977–2016
Optional	Parker, Gregory, Marshall Van Alstyne, and Sangeet Choudary. Platform Revolution: How Networked Markets are Transforming the Economy and How to Make Them Work for You. W. W. Norton & Company, 2016. ISBN: 9780393354355
Optional	Evans, David and Richard Schmalensee. The Matchmakers: The New Economics of Multisided Platforms Harvard Business Review Press, 2016. ISBN: 9781633691728
Optional	Golub, Ben, and Evan Sadler. “Learning in Social Networks.” In The Oxford Handbook of the Economics of Networks. Oxford University Press, 2016
Optional	Acemoglu, Daron, Munther Dahleh, et al. “Bayesian Learning in Social Networks .” Review of Economic Studies 78 (2011): 1201–1236
Optional	Golub, Benjamin and Matthew Jackson. “Naïve Learning in Social Networks and the Wisdom of Crowds.” Microeconomics 2, no. 1 (2010): 112–149
Optional	Surowiecki, James. The Wisdom of Crowds: Why the Many Are Smarter Than the Few and How Collective Wisdom Sharpens Business, Economies, Societies, and Nations. Anchor, 2005. ISBN: 9780385721707. Chapters 1–4
Optional	Jackson, Matthew. Social and Economic Networks. Princeton University Press, 2010. ISBN: 9780691148205
Optional	Barabasi, Albert-Laszlo. Network Science. Cambridge University Press, 2016. ISBN: 9781107076266
Optional	Bramoulle, Yann, Andrea Galeotti, and Brian Rogers (eds.) The Oxford Handbook of the Economics of Networks. Oxford University Press, 2016. ISBN: 9780199948277
Optional	Osborne, Martin. Introduction to Game Theory. Oxford University Press, 2003. ISBN: 9780195128956
Optional	Gibbons, Robert. Game Theory for Applied Economists. Princeton University Press, 1992. ISBN: 9780691003955
Optional	Pentland, Alex. Social Physics: How Social Networks Can Make Us Smarter. Penguin Books, 2015. ISBN: 9780143126331
Optional	Christakis, Nicholas and James Fowler. Connected: The Surprising Power of Our Social Networks and How They Shape Our Lives. Back Bay Books, 2011. ISBN: 9780316036139
Optional	Watts, Duncan. Everything Is Obvious: How Common Sense Fails Us. Crown Business, 2012. ISBN: 9780307951793
Optional	Schelling, Thomas. Micromotives and Macrobehavior. WW Norton & Co., 2006. ISBN: 9780393329469
Optional	Luenberger, David. Introduction to Dynamic Systems: Theory, Models, and Applications. Wiley, 1979. ISBN: 9780471025948
Optional	Bertsekas, Dimitri and John Tsitsiklis. Introduction to Probability. Athena Scientic, 2008. ISBN: 9781886529236
Optional	Easley, David and Jon Kleinberg. Networks, Crowds, and Markets: Reasoning about a Highly Connected World. Cambridge University Press, 2010. ISBN: 9780521195331
